City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
530,nhulunbuy,-12.2333,136.7667,31.34,62,40,3.6,AU,1675645954
531,palmer,42.1584,-72.3287,5.23,58,40,4.63,US,1675645955
532,north platte,41.1239,-100.7654,2.29,76,0,4.12,US,1675645824
533,katsuura,35.1333,140.3,9.9,67,9,2.46,JP,1675645840
534,naze,28.3667,129.4833,16.69,88,100,5.21,JP,1675645955
535,amuntai,-2.4177,115.2494,25.75,87,100,0.17,ID,1675645956
536,dungarpur,23.8333,73.7167,17.83,31,0,1.1,IN,1675645956
537,grand island,40.925,-98.342,3.34,76,0,1.54,US,1675645769
538,tommot,58.9564,126.2925,-31.81,96,100,1.45,RU,1675645956
539,viedma,-40.8135,-62.9967,22.76,49,74,7.54,AR,1675645957
540,robertson,36.5167,-86.8667,11.99,74,0,3.09,US,1675645957
541,leninskiy,54.2781,37.4558,-7.99,98,92,2.39,RU,1675645717
542,dingle,10.9995,122.6711,26.6,81,74,4.29,PH,1675645958
543,pelym,61.0108,61.9978,-16.15,99,100,1.22,RU,1675645958
544,sibu,2.3,111.8167,25.61,89,100,0.84,MY,1675645958
545,san fernando,15.0286,120.6898,27.29,66,56,3.02,PH,1675645959
546,port victoria,0.0939,33.9756,21.33,76,2,4.64,KE,1675645959
547,genhe,50.7833,121.5167,-26.23,100,100,1.15,CN,1675645960
548,altay,47.8667,88.1167,-7.89,69,100,2.57,CN,1675645961
549,durusu,41.3053,28.6767,3.24,91,100,14.31,TR,1675645961
550,jambi,-1.6,103.6167,24.22,92,100,1.3,ID,1675645961
551,gorontalo,0.5412,123.0595,27.93,66,89,1.19,ID,1675645962
552,westport,41.1415,-73.3579,5.99,76,100,4.59,US,1675645789
553,clarence town,-32.5833,151.7833,29.23,40,1,1.73,AU,1675645962
554,mandera,3.9366,41.867,24.58,28,11,3.6,KE,1675645963
555,geraldton,-28.7667,114.6,24.23,69,100,6.69,AU,1675645843
